velocity (km/s),I_data (K),I_fit (K),HINSA_I (K),CNM1_I (K)           ,CNM2_I (K),CNM3_I (K),WNM_I (K),V_data (K),V_fit (K),HINSA_V (K)
9.436100,78.519006,78.949355,0.000000,43.069162,0.012845,27.283793,8.583554,-0.001745,-0.019786,0.000000
9.536740,76.240880,76.424142,0.000000,41.862227,0.011108,25.389577,9.161229,0.001297,-0.020240,0.000000
9.637380,73.938744,73.855329,0.000000,40.586306,0.009596,23.531504,9.727922,-0.006107,-0.020596,0.000000
9.738020,71.700408,71.255081,0.000000,39.246834,0.008281,21.720374,10.279593,-0.019078,-0.020851,0.000000
9.838670,69.362041,68.635233,0.000000,37.849706,0.007136,19.965863,10.812528,-0.027668,-0.021002,0.000000
9.939310,66.949225,66.008178,0.000000,36.401820,0.006140,18.277052,11.323167,-0.033607,-0.021047,0.000000
10.039950,64.401509,63.385169,0.000000,34.910196,0.005274,16.661253,11.808446,-0.047159,-0.020989,0.000000
10.140590,61.846603,60.777238,0.000000,33.382468,0.004523,15.124646,12.265601,-0.041939,-0.020827,0.000000
10.241230,59.180816,58.194843,0.000000,31.826671,0.003870,13.672061,12.692241,-0.022348,-0.020565,0.000000
10.341870,56.534470,55.647780,0.000000,30.251143,0.003305,12.306984,13.086347,-0.013929,-0.020207,-0.000000
10.442510,53.872144,53.145119,0.000000,28.664422,0.002816,11.031598,13.446283,-0.014884,-0.019758,-0.000000
10.543150,51.206618,50.695150,-0.000000,27.075127,0.002394,9.846843,13.770787,-0.017325,-0.019224,0.000000
10.643790,48.525582,48.305337,0.000000,25.491830,0.002030,8.752507,14.058970,-0.027852,-0.018612,-0.000000
10.744430,45.894215,45.982290,0.000000,23.922933,0.001717,7.747336,14.310304,-0.038175,-0.017929,-0.000000
10.845080,43.409529,43.731525,0.000000,22.376386,0.001448,6.829064,14.524627,-0.021714,-0.017184,0.000000
10.945720,41.032083,41.558343,-0.000000,20.860181,0.001218,5.994901,14.702044,-0.019580,-0.016385,-0.000000
11.046360,38.721916,39.466492,-0.000000,19.381314,0.001022,5.241121,14.843035,-0.037697,-0.015542,0.000000
11.147000,36.573760,37.459078,-0.000000,17.946314,0.000855,4.563567,14.948341,-0.038364,-0.014665,0.000000
11.247640,34.564544,35.538363,0.000000,16.560997,0.000713,3.957689,15.018963,-0.029007,-0.013761,-0.000000
11.348280,32.728758,33.705798,-0.000000,15.230409,0.000593,3.418667,15.056129,-0.008832,-0.012841,0.000000
11.448920,30.982092,31.962061,0.000000,13.958781,0.000492,2.941522,15.061266,0.006599,-0.011912,0.000000
11.549560,29.398015,30.307110,-0.000000,12.749505,0.000407,2.521227,15.035970,0.000510,-0.010985,0.000000
11.650200,27.923299,28.740232,-0.000000,11.605134,0.000336,2.152791,14.981972,-0.014080,-0.010065,0.000000
11.750840,26.594083,27.260110,0.000000,10.527391,0.000276,1.831336,14.901107,-0.024103,-0.009161,0.000000
11.851490,25.365936,25.864751,0.000000,9.517110,0.000227,1.552140,14.795273,-0.023660,-0.008279,0.000000
11.952130,24.204510,24.552097,0.000000,8.574675,0.000186,1.310790,14.666446,-0.016903,-0.007424,0.000000
12.052770,23.134604,23.319267,-0.000000,7.699476,0.000151,1.103051,14.516587,-0.012247,-0.006602,0.000000
12.153410,22.166958,22.163184,-0.000000,6.890386,0.000123,0.925013,14.347663,-0.012321,-0.005815,0.000000
12.254050,21.255321,21.080503,-0.000000,6.145729,0.000100,0.773067,14.161607,-0.018200,-0.005069,0.000000
12.354690,20.401925,20.067673,0.000000,5.463364,0.000081,0.643922,13.960306,-0.022014,-0.004365,-0.000000
12.455330,19.577239,19.120999,0.000000,4.840759,0.000065,0.534593,13.745582,-0.012878,-0.003704,-0.000000
12.555970,18.814413,18.236701,0.000000,4.275071,0.000053,0.442399,13.519178,-0.003281,-0.003088,0.000000
12.656610,18.091697,17.410962,-0.000000,3.763223,0.000042,0.364950,13.282747,-0.003140,-0.002517,0.000000
12.757250,17.426420,16.639979,0.000000,3.301971,0.000034,0.300128,13.037847,-0.001019,-0.001991,-0.000000
12.857890,16.774854,15.920002,-0.000000,2.887975,0.000027,0.246068,12.785931,0.004118,-0.001509,-0.000000
