velocity (km/s),HINSAV_data (K),HINSAV_fit (K),CNM1_data (K),CNM1_fit (K),           CNM2_data (K),CNM2_fit (K),CNM3_data (K),CNM3_fit (K),WNM_data (K),WNM_fit (K)
22.620070,-0.006284,0.000000,-0.006284,-0.000000,-0.006284,0.000000,-0.006284,0.000000,-0.006124,0.000160
22.720710,-0.003625,-0.000000,-0.003625,-0.000000,-0.003625,0.000000,-0.003625,0.000000,-0.003472,0.000153
22.821350,0.002671,0.000000,0.002671,-0.000000,0.002671,0.000000,0.002671,0.000000,0.002818,0.000146
22.921990,0.002387,-0.000000,0.002387,-0.000000,0.002387,0.000000,0.002387,0.000000,0.002527,0.000140
23.022630,0.000934,-0.000000,0.000934,-0.000000,0.000934,0.000000,0.000934,0.000000,0.001068,0.000134
23.123270,0.004798,0.000000,0.004798,0.000000,0.004798,0.000000,0.004798,0.000000,0.004926,0.000128
23.223910,0.010211,0.000000,0.010211,0.000000,0.010211,0.000000,0.010211,0.000000,0.010333,0.000123
23.324560,0.006120,0.000000,0.006120,0.000000,0.006120,0.000000,0.006120,0.000000,0.006238,0.000117
23.425200,-0.000984,0.000000,-0.000984,0.000000,-0.000984,0.000000,-0.000984,0.000000,-0.000872,0.000112
23.525840,-0.001120,0.000000,-0.001120,0.000000,-0.001120,0.000000,-0.001120,0.000000,-0.001013,0.000107
23.626480,-0.000943,0.000000,-0.000943,0.000000,-0.000943,0.000000,-0.000943,0.000000,-0.000841,0.000102
23.727120,-0.002705,0.000000,-0.002705,0.000000,-0.002705,0.000000,-0.002705,0.000000,-0.002608,0.000098
23.827760,-0.007981,0.000000,-0.007981,0.000000,-0.007981,0.000000,-0.007981,0.000000,-0.007888,0.000093
23.928400,-0.012247,0.000000,-0.012247,0.000000,-0.012247,0.000000,-0.012247,0.000000,-0.012158,0.000089
24.029040,-0.011691,0.000000,-0.011691,0.000000,-0.011691,0.000000,-0.011691,0.000000,-0.011606,0.000085
24.129680,-0.005913,0.000000,-0.005913,0.000000,-0.005913,0.000000,-0.005913,0.000000,-0.005832,0.000081
24.230320,0.000624,0.000000,0.000624,0.000000,0.000624,0.000000,0.000624,0.000000,0.000701,0.000077
24.330970,-0.002200,0.000000,-0.002200,0.000000,-0.002200,0.000000,-0.002200,0.000000,-0.002127,0.000073
24.431610,-0.008009,0.000000,-0.008009,0.000000,-0.008009,0.000000,-0.008009,0.000000,-0.007939,0.000070
24.532250,-0.007184,0.000000,-0.007184,0.000000,-0.007184,0.000000,-0.007184,0.000000,-0.007118,0.000067
24.632890,-0.001931,0.000000,-0.001931,0.000000,-0.001931,0.000000,-0.001931,0.000000,-0.001868,0.000064
24.733530,0.002619,0.000000,0.002619,0.000000,0.002619,0.000000,0.002619,0.000000,0.002679,0.000061
24.834170,0.001951,0.000000,0.001951,0.000000,0.001951,0.000000,0.001951,0.000000,0.002009,0.000058
24.934810,0.000770,0.000000,0.000770,0.000000,0.000770,0.000000,0.000770,0.000000,0.000825,0.000055
25.035450,0.003900,0.000000,0.003900,0.000000,0.003900,0.000000,0.003900,0.000000,0.003952,0.000052
25.136090,0.005170,0.000000,0.005170,0.000000,0.005170,0.000000,0.005170,0.000000,0.005220,0.000050
25.236730,0.000245,0.000000,0.000245,0.000000,0.000245,0.000000,0.000245,0.000000,0.000292,0.000047
25.337370,-0.001290,0.000000,-0.001290,0.000000,-0.001290,0.000000,-0.001290,0.000000,-0.001245,0.000045
25.438020,0.006389,0.000000,0.006389,0.000000,0.006389,0.000000,0.006389,0.000000,0.006432,0.000043
25.538660,0.007510,0.000000,0.007510,0.000000,0.007510,0.000000,0.007510,0.000000,0.007551,0.000041
25.639300,0.000227,0.000000,0.000227,0.000000,0.000227,0.000000,0.000227,0.000000,0.000265,0.000039
25.739940,-0.005093,0.000000,-0.005093,0.000000,-0.005093,0.000000,-0.005093,0.000000,-0.005057,0.000037
25.840580,-0.008684,0.000000,-0.008684,0.000000,-0.008684,0.000000,-0.008684,0.000000,-0.008650,0.000035
25.941220,-0.007449,0.000000,-0.007449,0.000000,-0.007449,0.000000,-0.007449,0.000000,-0.007416,0.000033
26.041860,-0.001741,0.000000,-0.001741,0.000000,-0.001741,0.000000,-0.001741,0.000000,-0.001709,0.000031
26.142500,0.005758,0.000000,0.005758,0.000000,0.005758,0.000000,0.005758,0.000000,0.005788,0.000030
26.243140,0.008521,0.000000,0.008521,0.000000,0.008521,0.000000,0.008521,0.000000,0.008549,0.000028
26.343780,0.003108,0.000000,0.003108,0.000000,0.003108,0.000000,0.003108,0.000000,0.003135,0.000027
26.444430,-0.000646,0.000000,-0.000646,0.000000,-0.000646,0.000000,-0.000646,0.000000,-0.000620,0.000025
26.545070,0.000346,0.000000,0.000346,0.000000,0.000346,0.000000,0.000346,0.000000,0.000370,0.000024
26.645710,0.004589,0.000000,0.004589,0.000000,0.004589,0.000000,0.004589,0.000000,0.004612,0.000023
26.746350,0.004819,0.000000,0.004819,0.000000,0.004819,0.000000,0.004819,0.000000,0.004841,0.000022
26.846990,-0.001958,0.000000,-0.001958,0.000000,-0.001958,0.000000,-0.001958,0.000000,-0.001938,0.000020
26.947630,-0.004004,0.000000,-0.004004,0.000000,-0.004004,0.000000,-0.004004,0.000000,-0.003984,0.000019
27.048270,-0.000015,0.000000,-0.000015,0.000000,-0.000015,0.000000,-0.000015,0.000000,0.000003,0.000018
27.148910,0.000082,0.000000,0.000082,0.000000,0.000082,0.000000,0.000082,0.000000,0.000100,0.000017
27.249550,-0.004521,0.000000,-0.004521,0.000000,-0.004521,0.000000,-0.004521,0.000000,-0.004505,0.000016
27.350190,-0.001293,0.000000,-0.001293,0.000000,-0.001293,0.000000,-0.001293,0.000000,-0.001277,0.000015
27.450840,0.000623,0.000000,0.000623,0.000000,0.000623,0.000000,0.000623,0.000000,0.000638,0.000015
27.551480,-0.008032,0.000000,-0.008032,0.000000,-0.008032,0.000000,-0.008032,0.000000,-0.008019,0.000014
27.652120,-0.009686,0.000000,-0.009686,0.000000,-0.009686,0.000000,-0.009686,0.000000,-0.009673,0.000013
27.752760,-0.002911,0.000000,-0.002911,0.000000,-0.002911,0.000000,-0.002911,0.000000,-0.002899,0.000012
27.853400,0.002433,0.000000,0.002433,0.000000,0.002433,0.000000,0.002433,0.000000,0.002445,0.000012
27.954040,0.002818,0.000000,0.002818,0.000000,0.002818,0.000000,0.002818,0.000000,0.002829,0.000011
28.054680,0.001181,0.000000,0.001181,0.000000,0.001181,0.000000,0.001181,0.000000,0.001191,0.000010
28.155320,-0.000129,0.000000,-0.000129,0.000000,-0.000129,0.000000,-0.000129,0.000000,-0.000119,0.000010
28.255960,-0.005788,0.000000,-0.005788,0.000000,-0.005788,0.000000,-0.005788,0.000000,-0.005779,0.000009
28.356600,-0.007484,0.000000,-0.007484,0.000000,-0.007484,0.000000,-0.007484,0.000000,-0.007475,0.000009
28.457250,0.000688,0.000000,0.000688,0.000000,0.000688,0.000000,0.000688,0.000000,0.000696,0.000008
28.557890,0.002624,0.000000,0.002624,0.000000,0.002624,0.000000,0.002624,0.000000,0.002632,0.000008
28.658530,-0.001151,0.000000,-0.001151,0.000000,-0.001151,0.000000,-0.001151,0.000000,-0.001144,0.000007
28.759170,0.002376,0.000000,0.002376,0.000000,0.002376,0.000000,0.002376,0.000000,0.002383,0.000007
28.859810,0.006278,0.000000,0.006278,0.000000,0.006278,0.000000,0.006278,0.000000,0.006285,0.000006
28.960450,0.007438,0.000000,0.007438,0.000000,0.007438,0.000000,0.007438,0.000000,0.007444,0.000006
29.061090,0.008213,0.000000,0.008213,0.000000,0.008213,0.000000,0.008213,0.000000,0.008219,0.000006
29.161730,0.003684,0.000000,0.003684,0.000000,0.003684,0.000000,0.003684,0.000000,0.003690,0.000005
29.262370,-0.004874,0.000000,-0.004874,0.000000,-0.004874,0.000000,-0.004874,0.000000,-0.004869,0.000005
29.363010,-0.010282,0.000000,-0.010282,0.000000,-0.010282,0.000000,-0.010282,0.000000,-0.010277,0.000005
29.463650,-0.010737,0.000000,-0.010737,0.000000,-0.010737,0.000000,-0.010737,0.000000,-0.010732,0.000005
29.564300,-0.003257,0.000000,-0.003257,0.000000,-0.003257,0.000000,-0.003257,0.000000,-0.003253,0.000004
29.664940,0.006570,0.000000,0.006570,0.000000,0.006570,0.000000,0.006570,0.000000,0.006574,0.000004
29.765580,0.003685,0.000000,0.003685,0.000000,0.003685,0.000000,0.003685,0.000000,0.003689,0.000004
29.866220,-0.008043,0.000000,-0.008043,0.000000,-0.008043,0.000000,-0.008043,0.000000,-0.008040,0.000004
29.966860,-0.012929,0.000000,-0.012929,0.000000,-0.012929,0.000000,-0.012929,0.000000,-0.012926,0.000003
